,Unnamed: 0,orig,dest,airline,dep_date,ret_date,search_date,price
75460,75460,MAD,PTY,IB,2021-01-12,2021-01-28,2020-04-11,301.8000000000001
75515,75515,MAD,MEX,IB,2021-01-15,2021-01-28,2020-04-11,304.26350000000014
75595,75595,MUC,LCA,LH,2021-03-06,2021-03-16,2020-05-06,685.1670000000001
75639,75639,FRA,GLA,LH,2021-03-09,2021-03-16,2020-04-25,198.02
75690,75690,MAD,SCL,IB,2021-01-07,2021-01-28,2020-04-21,291.5619999999999
75746,75746,FRA,PEK,LH,2020-12-13,2020-12-21,2020-04-22,782.5880000000003
75817,75817,LHR,SIN,QF,2021-02-07,2021-03-08,2020-05-08,214.6885
75855,75855,MAD,SCL,IB,2021-01-13,2021-01-28,2020-04-21,284.16
75918,75918,FRA,YYZ,AC,2021-03-06,2021-03-15,2020-04-29,155.26000000000005
76005,76005,FRA,BIO,LH,2020-12-11,2020-12-21,2020-05-31,596.3999999999999
76027,76027,MUC,MAD,LH,2021-03-08,2021-03-15,2020-04-28,613.1999999999998
76113,76113,JNB,WDH,SA,2021-03-01,2021-03-12,2020-05-29,227.80099999999996
76149,76149,LHR,EDI,BA,2021-01-11,2021-01-21,2020-05-10,617.4675
76223,76223,JNB,WDH,SA,2021-01-11,2021-01-25,2020-05-29,232.08049999999997
76261,76261,FRA,GLA,LH,2020-12-15,2020-12-22,2020-05-12,196.02
76333,76333,JNB,WDH,SA,2021-01-12,2021-01-25,2020-05-29,232.08049999999997
76388,76388,JNB,CPT,SA,2021-01-03,2021-01-25,2020-05-29,214.70750000000004
76444,76444,LHR,EDI,BA,2021-03-01,2021-03-08,2020-05-30,929.0415
76473,76473,FRA,GLA,LH,2020-12-14,2020-12-21,2020-05-04,202.52
76537,76537,FRA,GRU,LA,2020-12-13,2020-12-28,2020-05-13,194.02
76583,76583,FRA,GLA,LH,2021-01-19,2021-01-28,2020-05-04,211.02000000000004
76664,76664,LHR,EDI,BA,2021-02-27,2021-03-08,2020-05-30,929.0415
76693,76693,FRA,GLA,LH,2020-12-16,2020-12-21,2020-05-04,192.52
76773,76773,JNB,VFA,SA,2021-02-20,2021-03-12,2020-05-29,230.1905
76828,76828,JNB,WDH,SA,2021-02-19,2021-03-12,2020-05-29,230.1905
76846,76846,FRA,PEK,CA,2021-01-13,2021-01-27,2020-04-22,782.5070000000003
76912,76912,FRA,EDI,LH,2020-12-12,2020-12-21,2020-05-03,366.062
76998,76998,TPE,CGK,CI,2021-01-15,2021-01-28,2020-06-03,300.10800000000006
77011,77011,FRA,PEK,CA,2021-01-15,2021-01-27,2020-04-22,913.7605000000003
77103,77103,JNB,WDH,SA,2021-02-26,2021-03-12,2020-05-29,227.80099999999996
77158,77158,JNB,WDH,SA,2021-01-08,2021-01-25,2020-05-29,232.08049999999997
77182,77182,JNB,CPT,SA,2021-01-07,2021-01-25,2020-04-28,213.1255
77248,77248,FRA,EDI,LH,2021-01-17,2021-01-28,2020-05-09,381.114
77302,77302,MAD,SCL,IB,2021-02-27,2021-03-15,2020-05-08,295.129
77347,77347,FRA,JFK,LH,2020-12-16,2020-12-22,2020-04-28,1024.8600000000004
77433,77433,JNB,WDH,SA,2021-02-25,2021-03-12,2020-05-29,230.1905
77458,77458,FRA,ICN,LH,2020-12-12,2020-12-21,2020-04-29,741.807
