,Unnamed: 0,orig,dest,airline,dep_date,ret_date,search_date,price
0,0,LHR,SFO,BA,2021-03-10,2021-03-30,2020-04-11,936.48
100,100,FRA,JNB,SA,2020-12-08,2020-12-22,2020-05-26,527.3985
121,121,FRA,PRG,LH,2021-03-17,2021-03-21,2020-04-22,828.1070000000003
192,192,FRA,GRU,LA,2021-02-07,2021-02-17,2020-05-08,180.02
220,220,FRA,GRU,LH,2021-03-05,2021-03-21,2020-04-11,189.02
300,300,MUC,ARN,LH,2021-01-15,2021-01-19,2020-05-06,453.9739999999998
355,355,SIN,RGN,SQ,2020-12-28,2021-01-13,2020-05-06,177.56700000000018
410,410,SIN,RGN,SQ,2020-12-29,2021-01-13,2020-05-06,253.56700000000006
464,464,SIN,MNL,SQ,2020-12-31,2021-01-13,2020-05-05,241.831
527,527,SIN,KUL,SQ,2020-12-23,2021-01-13,2020-05-13,654.9069999999999
577,577,SIN,CGK,SQ,2020-12-29,2021-01-13,2020-05-08,414.94500000000005
655,655,SIN,DRW,MI,2020-12-25,2021-01-13,2020-05-31,248.6715
671,671,FRA,EDI,LH,2021-03-14,2021-03-21,2020-04-22,276.3285
727,727,MUC,DME,LH,2021-01-05,2021-01-19,2020-04-23,487.168
770,770,FRA,BKK,LH,2021-03-07,2021-03-21,2020-04-11,405.64000000000016
854,854,TPE,JKT,CI,2021-01-02,2021-01-19,2020-05-10,1214.3505000000002
892,892,IST,BKK,TK,2020-12-30,2021-01-13,2020-04-23,815.7850000000003
952,952,IST,BKK,TK,2020-12-29,2021-01-13,2020-04-28,815.7464999999999
1035,1035,AMS,SJO,KL,2021-01-03,2021-01-17,2020-05-26,471.94150000000013
1057,1057,LHR,JNB,BA,2021-02-20,2021-03-14,2020-04-23,961.7020000000003
1117,1117,LHR,MEL,QF,2021-02-21,2021-03-13,2020-04-28,438.5205
1172,1172,LHR,PER,QF,2021-02-17,2021-03-13,2020-04-28,438.5205
1222,1222,FRA,JNB,SA,2020-12-25,2021-01-16,2020-04-23,583.7349999999999
1277,1277,FRA,IST,TK,2020-12-25,2021-01-13,2020-04-23,673.5399999999997
1337,1337,LHR,PER,QF,2021-02-14,2021-03-13,2020-04-28,438.5205
1375,1375,FRA,HEL,LH,2021-03-13,2021-03-21,2020-04-11,775.9504999999998
1449,1449,FRA,LHR,BA,2020-12-06,2020-12-19,2020-04-30,437.46900000000016
1515,1515,AMS,EDI,KL,2021-01-08,2021-01-17,2020-05-11,441.3765
1558,1558,FRA,ICN,LH,2021-01-04,2021-01-18,2020-04-29,768.8575
1627,1627,FRA,AUH,EY,2020-12-04,2020-12-19,2020-05-13,540.5895
1667,1667,LHR,SIN,QF,2020-12-13,2021-01-11,2020-04-28,216.2825
1753,1753,JNB,WDH,SA,2021-03-02,2021-03-18,2020-05-29,227.80099999999996
1769,1769,LHR,PER,QF,2020-12-15,2021-01-11,2020-04-20,370.9710000000002
1863,1863,JNB,WDH,SA,2021-02-26,2021-03-18,2020-05-29,227.80099999999996
1893,1893,FRA,MEX,LH,2021-01-03,2021-01-19,2020-05-04,284.68999999999994
1973,1973,JNB,WDH,SA,2021-02-25,2021-03-18,2020-05-29,230.1905
2001,2001,FRA,OPO,LH,2021-01-10,2021-01-18,2020-05-02,217.4795
2042,2042,LHR,DEN,BA,2021-02-27,2021-03-14,2020-04-18,962.3930000000003
2107,2107,LHR,SIN,QF,2020-12-27,2021-01-11,2020-04-28,216.2825
2193,2193,JNB,WDH,SA,2021-03-03,2021-03-18,2020-05-29,227.80099999999996
2217,2217,IST,ICN,TK,2020-12-05,2020-12-19,2020-04-28,591.9899999999998
2265,2265,MUC,ARN,LH,2021-03-15,2021-03-21,2020-04-21,480.09649999999993
2338,2338,FRA,ICN,LH,2021-01-09,2021-01-18,2020-05-09,809.5265000000003
2382,2382,DUS,SIN,SQ,2021-03-02,2021-03-15,2020-04-28,625.4789999999998
2431,2431,IST,BKK,TK,2020-12-05,2020-12-20,2020-04-22,591.901
2521,2521,FRA,CPT,LH,2021-01-04,2021-01-19,2020-05-27,348.26750000000015
2547,2547,FRA,DEL,LH,2021-01-09,2021-01-19,2020-04-28,911.9345
2618,2618,MUC,RIX,BT,2021-03-13,2021-03-21,2020-05-14,838.8765
2681,2681,FRA,BUD,LH,2021-01-14,2021-01-19,2020-05-22,1389.2214999999994
2715,2715,DXB,CMB,EK,2020-12-14,2020-12-28,2020-05-01,172.8100000000001
2770,2770,DXB,CMB,EK,2020-12-15,2020-12-28,2020-05-01,172.8100000000001
2817,2817,HAM,LHR,BA,2021-03-06,2021-03-14,2020-04-23,142.12
2872,2872,IKA,IST,TK,2020-12-09,2020-12-19,2020-04-23,592.5450000000002
2932,2932,FRA,ARN,LH,2021-01-15,2021-01-19,2020-04-28,182.75900000000007
2987,2987,DUS,SIN,SQ,2021-02-26,2021-03-15,2020-04-28,625.4789999999998
3077,3077,FRA,HKG,CX,2021-01-02,2021-01-18,2020-06-02,748.9399999999998
3097,3097,IST,ICN,TK,2020-12-06,2020-12-20,2020-04-28,591.9899999999998
3152,3152,FRA,DEL,LH,2021-01-12,2021-01-20,2020-04-28,1023.252
3207,3207,FRA,DEL,LH,2021-01-11,2021-01-20,2020-04-28,938.4760000000003
3262,3262,FRA,DEL,LH,2021-01-10,2021-01-20,2020-04-28,938.4760000000003
3317,3317,FRA,DEL,LH,2021-01-08,2021-01-20,2020-04-28,938.4760000000003
3373,3373,FRA,SIN,SQ,2021-02-14,2021-03-15,2020-04-29,160.3899999999999
3422,3422,FRA,CPH,LH,2021-01-11,2021-01-20,2020-04-23,461.3610000000001
3481,3481,FRA,SIN,SQ,2021-02-28,2021-03-15,2020-04-27,158.8899999999999
3546,3546,CMN,RAK,AT,2021-01-10,2021-01-20,2020-05-07,271.15599999999995
3601,3601,CMN,RAK,AT,2021-01-12,2021-01-20,2020-05-07,271.15599999999995
3646,3646,FRA,SIN,SQ,2021-03-01,2021-03-15,2020-04-27,158.8899999999999
3701,3701,FRA,SIN,SQ,2021-02-26,2021-03-15,2020-04-27,158.8899999999999
3776,3776,AMS,LIM,KL,2021-01-02,2021-01-18,2020-05-17,341.7865
3811,3811,FRA,SIN,SQ,2021-02-25,2021-03-15,2020-04-27,158.8899999999999
3868,3868,FRA,SIN,SQ,2021-03-05,2021-03-15,2020-04-29,162.3899999999999
3916,3916,IST,JRO,TK,2021-01-01,2021-01-14,2020-04-22,774.4869999999999
3976,3976,FRA,SIN,SQ,2021-02-22,2021-03-15,2020-04-27,162.3899999999999
4040,4040,FRA,SIN,SQ,2020-12-06,2020-12-19,2020-05-06,124.88999999999993
4118,4118,JNB,WDH,SA,2021-01-03,2021-01-17,2020-05-29,230.301
4143,4143,JNB,CPT,SA,2021-01-07,2021-01-17,2020-04-29,197.1055
4215,4215,FRA,DUB,EI,2020-12-19,2020-12-31,2020-05-16,242.1600000000001
4252,4252,FRA,DEL,LH,2021-01-06,2021-01-20,2020-04-28,938.4760000000003
4322,4322,NUE,FRA,LH,2021-03-17,2021-03-21,2020-05-13,688.5539999999999
4362,4362,FRA,DEL,LH,2021-01-05,2021-01-20,2020-04-28,938.4760000000003
4417,4417,FRA,DEL,LH,2021-01-03,2021-01-20,2020-04-28,899.1760000000003
4472,4472,FRA,DEL,LH,2021-01-07,2021-01-20,2020-04-28,938.4760000000003
4527,4527,FRA,DEL,LH,2020-12-31,2021-01-20,2020-04-28,899.1760000000003
4577,4577,IST,CPT,TK,2020-12-30,2021-01-14,2020-04-23,817.2710000000003
4655,4655,FRA,EDI,LH,2021-01-11,2021-01-20,2020-05-16,354.4159999999998
4689,4689,MAD,SCL,IB,2021-03-06,2021-03-21,2020-04-25,318.83
4778,4778,JNB,WDH,SA,2020-12-28,2021-01-17,2020-05-29,227.6905
4833,4833,JNB,WDH,SA,2021-01-02,2021-01-17,2020-05-29,230.301
4885,4885,FRA,EDI,LH,2021-01-13,2021-01-20,2020-05-26,373.32149999999984
4918,4918,FRA,LED,LH,2021-01-11,2021-01-19,2020-05-04,413.01650000000006
4975,4975,MUC,LCA,LH,2021-03-06,2021-03-21,2020-05-06,685.1670000000001
5039,5039,MAD,EZE,IB,2021-02-28,2021-03-21,2020-05-15,242.65
5105,5105,FRA,YUL,AC,2021-01-09,2021-01-18,2020-05-26,417.97050000000013
5160,5160,FRA,JNB,SA,2020-12-08,2020-12-23,2020-05-26,503.091
5215,5215,FRA,YYZ,AC,2021-01-09,2021-01-18,2020-05-26,352.33400000000006
5257,5257,MAD,EZE,IB,2021-03-07,2021-03-21,2020-05-13,250.65
5325,5325,FRA,JNB,SA,2020-12-09,2020-12-22,2020-05-26,527.3985
5347,5347,HAM,LHR,BA,2020-12-30,2021-01-12,2020-04-23,148.55649999999997
5435,5435,FRA,EDI,LH,2021-01-12,2021-01-19,2020-05-26,372.07799999999986
5472,5472,LHR,SYD,QF,2021-02-23,2021-03-13,2020-05-08,214.6885
5545,5545,FRA,JNB,SA,2020-12-09,2020-12-23,2020-05-26,503.091
5590,5590,FRA,DUB,EI,2020-12-19,2020-12-30,2020-05-16,238.96000000000006
5622,5622,FRA,JNB,SA,2020-12-04,2020-12-21,2020-04-23,555.3954999999999
5685,5685,MUC,MAD,LH,2021-01-12,2021-01-19,2020-05-01,626.9039999999999
5755,5755,FRA,JNB,SA,2020-12-27,2021-01-16,2020-05-16,577.0035
5807,5807,MAD,EZE,IB,2021-03-06,2021-03-21,2020-05-13,250.65
5875,5875,FRA,JNB,SA,2020-12-07,2020-12-23,2020-05-26,503.091
5911,5911,FRA,LHR,BA,2020-12-23,2021-01-12,2020-05-07,448.67750000000007
5985,5985,FRA,JNB,SA,2020-12-07,2020-12-22,2020-05-26,527.3985
6040,6040,FRA,YUL,AC,2020-12-29,2021-01-18,2020-05-26,416.97050000000013
6096,6096,FRA,JNB,SA,2020-12-03,2020-12-23,2020-05-27,523.4059999999998
6143,6143,FRA,YYZ,LH,2021-01-06,2021-01-19,2020-05-19,830.5449999999997
6185,6185,FRA,SIN,SQ,2020-12-06,2020-12-20,2020-05-06,124.88999999999993
6226,6226,TPE,CGK,CI,2021-01-05,2021-01-20,2020-04-22,301.0305
6314,6314,SVO,IKT,SU,2020-12-04,2020-12-20,2020-05-25,649.2420000000002
6350,6350,FRA,SIN,SQ,2020-12-07,2020-12-19,2020-05-06,124.88999999999993
6397,6397,MUC,MAD,IB,2021-03-13,2021-03-21,2020-04-28,662.1664999999998
6460,6460,FRA,SIN,SQ,2020-12-03,2020-12-19,2020-05-06,124.88999999999993
6507,6507,MUC,MAD,IB,2021-03-11,2021-03-21,2020-04-28,663.1664999999998
6556,6556,FRA,ADD,ET,2020-12-08,2020-12-21,2020-04-22,2483.890000000001
6652,6652,MUC,LHR,LH,2021-03-14,2021-03-21,2020-06-02,720.6225
6680,6680,FRA,SIN,SQ,2020-12-03,2020-12-20,2020-05-06,124.88999999999993
6735,6735,FRA,SIN,SQ,2020-12-04,2020-12-20,2020-05-06,124.88999999999993
6777,6777,MUC,LHR,BA,2020-12-28,2021-01-12,2020-04-23,653.1575
6836,6836,CTU,KMG,CA,2021-01-02,2021-01-17,2020-04-27,247.825
6900,6900,FRA,SIN,SQ,2020-12-04,2020-12-19,2020-05-06,124.88999999999993
6946,6946,CTU,KMG,CA,2020-12-30,2021-01-18,2020-04-27,256.2815
7030,7030,FRA,YUL,AC,2021-01-06,2021-01-18,2020-05-26,418.97050000000013
7065,7065,FRA,SIN,SQ,2020-12-05,2020-12-20,2020-05-06,124.88999999999993
7133,7133,FRA,YYC,AC,2021-01-02,2021-01-18,2020-05-19,331.38199999999995
7162,7162,MUC,YUL,LH,2021-03-08,2021-03-21,2020-04-23,283.67450000000014
7243,7243,FRA,GLA,LH,2021-01-12,2021-01-19,2020-05-19,205.32000000000008
7264,7264,FRA,MEX,LH,2021-03-09,2021-03-22,2020-04-15,294.6785
7317,7317,FRA,YUL,LH,2020-12-13,2020-12-25,2020-04-13,724.0810000000004
7418,7418,JNB,VFA,SA,2020-12-26,2021-01-15,2020-05-29,227.6905
7429,7429,FRA,MEX,LH,2021-03-08,2021-03-22,2020-04-15,294.6785
7508,7508,PVG,PEK,MU,2021-01-03,2021-01-18,2020-05-09,169.05000000000004
7586,7586,FRA,YUL,AC,2020-12-12,2020-12-24,2020-06-01,414.29200000000014
7639,7639,FRA,MAD,IB,2021-03-12,2021-03-22,2020-05-30,932.4324999999997
7697,7697,MUC,LHR,LH,2021-03-18,2021-03-22,2020-06-02,721.492
7717,7717,MUC,MAD,LH,2021-03-15,2021-03-22,2020-04-28,655.602
7757,7757,FRA,YUL,LH,2020-12-14,2020-12-26,2020-04-13,724.0810000000004
7822,7822,MUC,WAW,LH,2021-01-10,2021-01-18,2020-04-23,230.79550000000003
7877,7877,MUC,WAW,LO,2021-01-08,2021-01-18,2020-04-23,232.79550000000003
7946,7946,FRA,YUL,AC,2020-12-16,2020-12-25,2020-05-07,416.555
7975,7975,MUC,LIS,TP,2021-03-14,2021-03-22,2020-04-11,254.92500000000004
8047,8047,OSL,BGO,SK,2021-01-05,2021-01-18,2020-04-28,1064.2635
8097,8097,MUC,WAW,LO,2021-01-01,2021-01-18,2020-04-23,230.52450000000005
8172,8172,MUC,GDN,LH,2021-03-14,2021-03-22,2020-05-13,680.5004999999999
8246,8246,FRA,YYC,AC,2020-12-11,2020-12-25,2020-06-01,394.12150000000014
8262,8262,MUC,ZAG,LH,2021-01-07,2021-01-18,2020-04-23,232.79550000000003
8353,8353,JNB,WDH,SA,2020-12-31,2021-01-15,2020-05-29,227.6905
8393,8393,FRA,MIA,LH,2020-12-15,2020-12-25,2020-05-14,261.16299999999995
8426,8426,FRA,ADD,ET,2020-12-04,2020-12-19,2020-04-22,2483.890000000001
8470,8470,FRA,EZE,LH,2020-12-05,2020-12-26,2020-04-11,161.4799999999997
8573,8573,JNB,WDH,SA,2020-12-25,2021-01-15,2020-05-29,227.6905
8587,8587,ZRH,PRN,LX,2021-03-14,2021-03-22,2020-04-18,162.19849999999997
8652,8652,DUS,SIN,SQ,2020-12-06,2020-12-19,2020-04-28,631.6319999999997
8721,8721,LHR,EDI,BA,2021-01-02,2021-01-11,2020-05-12,617.5845000000003
8776,8776,LHR,EDI,BA,2021-01-04,2021-01-11,2020-05-12,617.5845000000003
8825,8825,FRA,SIN,SQ,2020-12-10,2020-12-20,2020-05-06,124.88999999999993
8904,8904,FRA,MAD,IB,2021-03-05,2021-03-22,2020-05-30,977.4199999999997
8958,8958,JNB,WDH,SA,2021-01-04,2021-01-15,2020-05-29,230.301
8992,8992,FRA,LED,LH,2021-03-17,2021-03-22,2020-05-08,457.2675
9068,9068,JNB,WDH,SA,2021-01-01,2021-01-15,2020-05-29,230.301
9109,9109,FRA,YYC,AC,2020-12-10,2020-12-24,2020-05-15,384.3665
9134,9134,FRA,MEX,LH,2021-03-06,2021-03-22,2020-04-15,294.6785
9205,9205,MUC,LHR,LH,2021-01-14,2021-01-18,2020-05-01,681.5414999999998
9260,9260,MUC,MAD,LH,2021-01-11,2021-01-18,2020-05-01,623.3169999999999
9299,9299,FRA,MEX,LH,2021-03-05,2021-03-22,2020-04-15,294.587
9361,9361,MUC,LIS,TP,2021-01-10,2021-01-18,2020-04-22,294.53250000000014
9408,9408,MAD,MEX,IB,2021-03-09,2021-03-22,2020-04-14,302.9054999999999
9501,9501,MUC,GDN,LH,2021-01-10,2021-01-18,2020-05-22,1045.1995000000009
9520,9520,MAD,MEX,IB,2021-03-06,2021-03-22,2020-04-16,300.906
9575,9575,FRA,CUN,LH,2020-12-15,2020-12-26,2020-04-16,195.614
9669,9669,FRA,EDI,LH,2021-01-10,2021-01-17,2020-05-25,399.5825
9708,9708,FRA,EDI,LH,2021-01-09,2021-01-18,2020-05-09,396.5840000000002
9746,9746,MAD,SCL,IB,2021-03-08,2021-03-22,2020-04-22,318.83
9825,9825,FRA,EDI,LH,2021-01-11,2021-01-18,2020-05-16,353.16449999999986
9890,9890,FRA,EDI,LH,2021-01-13,2021-01-18,2020-05-26,372.07799999999986
9914,9914,MAD,SCL,IB,2021-03-06,2021-03-22,2020-04-25,318.83
9988,9988,FRA,DEL,LH,2020-12-16,2020-12-26,2020-05-14,855.2365
10055,10055,FRA,EDI,LH,2021-01-14,2021-01-18,2020-05-26,372.6245
10065,10065,FRA,GDN,LH,2021-03-14,2021-03-22,2020-04-11,249.3149999999999
10132,10132,MUC,LHR,BA,2021-01-04,2021-01-11,2020-04-23,651.9925000000002
10187,10187,MUC,LHR,BA,2021-01-02,2021-01-11,2020-04-23,651.9925000000002
10230,10230,FRA,GDN,LH,2021-03-08,2021-03-22,2020-04-11,249.3149999999999
10336,10336,FRA,YYZ,AC,2020-12-12,2020-12-25,2020-06-01,394.12150000000014
10391,10391,FRA,YYZ,AC,2020-12-10,2020-12-25,2020-06-01,397.37150000000014
10407,10407,IST,BKK,TK,2020-12-28,2021-01-12,2020-04-23,683.6109999999998
10481,10481,FRA,YYZ,AC,2020-12-15,2020-12-25,2020-05-12,399.2965
10517,10517,IST,BKK,TK,2020-12-29,2021-01-12,2020-04-23,816.6070000000003
10560,10560,FRA,GLA,LH,2021-03-17,2021-03-22,2020-04-11,200.52
10666,10666,FRA,TPE,CI,2020-12-11,2020-12-25,2020-06-01,278.63800000000003
10708,10708,FRA,YYZ,AC,2021-01-04,2021-01-17,2020-05-19,331.88199999999995
10763,10763,FRA,YUL,LH,2021-01-06,2021-01-18,2020-05-19,830.5449999999997
10780,10780,FRA,GLA,LH,2021-03-15,2021-03-22,2020-04-11,226.77000000000004
10837,10837,FRA,TLS,LH,2020-12-16,2020-12-25,2020-04-13,716.6310000000003
10935,10935,FRA,YUL,AC,2021-01-07,2021-01-17,2020-05-26,418.97050000000013
10990,10990,FRA,YYZ,AC,2021-01-07,2021-01-17,2020-05-26,353.33400000000006
11025,11025,FRA,MAD,IB,2020-12-10,2020-12-25,2020-05-06,739.1995000000003
11106,11106,FRA,TPE,CI,2020-12-14,2020-12-25,2020-06-01,278.63800000000003
11137,11137,SIN,CGK,SQ,2020-12-26,2021-01-12,2020-05-08,404.50699999999995
11213,11213,JNB,VFA,SA,2020-12-27,2021-01-16,2020-05-29,227.6905
11264,11264,IST,TAS,TK,2020-12-29,2021-01-13,2020-05-25,852.5634999999997
11287,11287,IST,TAS,TK,2020-12-30,2021-01-13,2020-04-23,852.6760000000003
11357,11357,LHR,JNB,BA,2020-12-30,2021-01-12,2020-05-08,618.9019999999998
11409,11409,SIN,MNL,SQ,2021-03-05,2021-03-15,2020-05-05,234.455
11484,11484,SIN,ADL,SQ,2021-02-25,2021-03-15,2020-05-25,978.5345
11543,11543,JNB,WDH,SA,2020-12-08,2020-12-23,2020-05-29,227.801
11598,11598,JNB,WDH,SA,2021-01-01,2021-01-16,2020-05-29,230.301
11635,11635,FRA,SIN,SQ,2020-12-22,2021-01-13,2020-05-11,155.0399999999999
11689,11689,SIN,HKT,SQ,2021-02-26,2021-03-15,2020-05-10,590.9250000000002
11763,11763,JNB,WDH,SA,2020-12-07,2020-12-22,2020-05-29,227.801
11770,11770,SIN,KUL,MI,2021-02-27,2021-03-15,2020-04-11,595.1655000000002
11855,11855,FRA,SIN,SQ,2020-12-25,2021-01-13,2020-05-11,155.0399999999999
11910,11910,FRA,SIN,SQ,2020-12-24,2021-01-13,2020-05-11,155.0399999999999
11984,11984,SIN,BNE,QF,2021-02-25,2021-03-13,2020-05-30,533.8454999999999
12038,12038,JNB,WDH,SA,2020-12-09,2020-12-23,2020-05-29,227.801
12075,12075,FRA,SIN,SQ,2020-12-23,2021-01-13,2020-05-11,155.0399999999999
12130,12130,FRA,SIN,SQ,2020-12-21,2021-01-13,2020-05-11,155.0399999999999
12199,12199,SIN,KUL,SQ,2021-03-01,2021-03-15,2020-05-25,747.4330000000003
12258,12258,JNB,WDH,SA,2020-12-09,2020-12-22,2020-05-29,227.801
12295,12295,FRA,SIN,SQ,2020-12-26,2021-01-13,2020-05-11,155.0399999999999
12348,12348,DXB,BKK,EK,2021-02-14,2021-02-27,2020-05-09,161.50300000000004
12405,12405,FRA,SIN,SQ,2020-12-17,2021-01-13,2020-05-11,155.0399999999999
12458,12458,DXB,CMB,EK,2021-02-16,2021-02-27,2020-05-09,166.00300000000004
12496,12496,FRA,PEK,LH,2021-01-02,2021-01-19,2020-04-22,782.5070000000003
12564,12564,LHR,EWR,BA,2020-12-04,2020-12-17,2020-05-05,621.8004999999998
12612,12612,FRA,JFK,LH,2021-01-13,2021-01-19,2020-04-28,1024.8600000000004
12677,12677,FRA,KEF,FI,2021-01-10,2021-01-16,2020-05-08,657.3580000000002
12753,12753,JNB,WDH,SA,2021-03-04,2021-03-18,2020-05-29,227.80099999999996
12808,12808,LHR,EDI,BA,2021-03-06,2021-03-14,2020-05-29,937.0319999999997
12839,12839,LHR,MEX,BA,2020-12-05,2020-12-18,2020-05-05,621.4459999999998
12918,12918,JNB,WDH,SA,2021-01-02,2021-01-16,2020-05-29,230.301
12973,12973,JNB,WDH,SA,2021-01-05,2021-01-16,2020-05-29,230.301
13005,13005,FRA,SIN,SQ,2020-12-28,2021-01-13,2020-05-06,157.83999999999997
13059,13059,LHR,ATL,BA,2020-12-06,2020-12-19,2020-05-05,637.1954999999998
13138,13138,JNB,WDH,SA,2020-12-05,2020-12-22,2020-05-29,227.801
13193,13193,JNB,CPT,SA,2020-12-08,2020-12-23,2020-05-29,210.80750000000003
13200,13200,MAD,CMN,IB,2021-01-09,2021-01-19,2020-04-11,190.8300000000006
13284,13284,DXB,CMB,EK,2021-02-12,2021-02-27,2020-05-10,178.04500000000016
13328,13328,MAD,EZE,IB,2021-01-03,2021-01-19,2020-04-29,239.35
13382,13382,JNB,CPT,SA,2020-12-05,2020-12-22,2020-04-28,206.3975
13438,13438,JNB,CPT,SA,2021-01-03,2021-01-16,2020-04-29,200.3855
13503,13503,SIN,MEL,SQ,2021-02-26,2021-03-15,2020-05-09,274.5785
13549,13549,FRA,YYC,AC,2020-12-04,2020-12-25,2020-04-30,377.034
13629,13629,SIN,ADL,SQ,2020-12-02,2020-12-20,2020-05-25,978.0345
13678,13678,FRA,TIA,LH,2021-01-08,2021-01-18,2020-05-19,830.5449999999997
13728,13728,MUC,OTP,LH,2021-03-13,2021-03-22,2020-05-14,783.5289999999999
13778,13778,SIN,CGK,SQ,2020-12-02,2020-12-19,2020-05-09,377.31600000000014
13822,13822,FRA,AGP,LH,2021-01-08,2021-01-18,2020-04-28,235.97
13911,13911,SIN,RGN,SQ,2021-01-02,2021-01-12,2020-06-01,229.567
13943,13943,MUC,SIN,SQ,2021-02-25,2021-03-16,2020-05-09,1257.9540000000004
13995,13995,SIN,PER,SQ,2020-12-26,2021-01-12,2020-05-06,177.56700000000018
14050,14050,SIN,RGN,SQ,2020-12-25,2021-01-12,2020-05-06,177.56700000000018
14104,14104,SIN,MNL,SQ,2020-12-30,2021-01-12,2020-05-05,241.831
14152,14152,MUC,MEX,LH,2021-03-06,2021-03-22,2020-04-28,613.2794999999999
14244,14244,SIN,DRW,MI,2020-12-28,2021-01-12,2020-06-04,258.80400000000003
14257,14257,FRA,JNB,SA,2020-12-31,2021-01-15,2020-04-23,506.8045
14328,14328,BKK,MDL,PG,2020-12-03,2020-12-25,2020-05-09,643.7434999999995
14388,14388,FRA,SIN,SQ,2020-12-31,2021-01-13,2020-05-14,158.8899999999999
14435,14435,FRA,SIN,SQ,2020-12-29,2021-01-13,2020-05-06,157.83999999999997
14509,14509,SIN,AKL,SQ,2021-02-20,2021-03-15,2020-05-25,978.5345
14553,14553,FRA,SIN,SQ,2021-01-01,2021-01-13,2020-05-14,158.8899999999999
14602,14602,SIN,CHC,SQ,2021-02-21,2021-03-15,2020-05-08,536.746
14662,14662,FRA,YYZ,AC,2020-12-03,2020-12-25,2020-05-13,382.5785
14715,14715,TPE,CGK,CI,2021-01-05,2021-01-18,2020-05-11,294.32700000000006
14785,14785,TPE,MNL,CI,2021-01-01,2021-01-18,2020-05-26,635.3239999999997
14796,14796,SIN,KUL,SQ,2021-02-22,2021-03-15,2020-04-12,687.7634999999997
14902,14902,FRA,ICN,LH,2021-03-07,2021-03-21,2020-06-02,806.1305
14922,14922,FRA,JNB,LH,2021-01-02,2021-01-18,2020-04-28,1024.8600000000004
14972,14972,FRA,JNB,SA,2021-01-01,2021-01-15,2020-04-23,506.79400000000004
15050,15050,FRA,KEF,FI,2021-01-07,2021-01-15,2020-05-16,658.0160000000002
15082,15082,FRA,JNB,SA,2020-12-26,2021-01-15,2020-04-23,510.855
15150,15150,AMS,GLA,KL,2020-12-08,2020-12-15,2020-05-06,230.0565
15221,15221,FRA,KRK,LH,2021-01-10,2021-01-18,2020-05-22,464.7255
15262,15262,LHR,SIN,QF,2021-02-24,2021-03-12,2020-05-08,214.6885
15307,15307,WDH,CPT,SW,2020-12-06,2020-12-20,2020-04-28,112.82199999999996
15361,15361,FRA,BIO,LH,2021-01-16,2021-01-21,2020-04-27,330.1110000000001
15416,15416,FRA,BKK,LH,2021-01-06,2021-01-21,2020-04-27,327.39200000000005
15493,15493,FRA,GLA,LH,2021-01-12,2021-01-21,2020-05-19,205.32000000000008
15541,15541,MUC,KRK,LH,2021-03-12,2021-03-20,2020-05-12,572.6904999999998
15582,15582,MUC,MAD,LH,2021-03-06,2021-03-20,2020-04-28,613.2794999999999
15657,15657,MAD,EZE,IB,2021-01-10,2021-01-21,2020-05-18,267.35849999999994
15695,15695,MUC,LCA,LH,2021-01-13,2021-01-21,2020-05-01,681.5414999999998
15730,15730,MAD,SCL,IB,2020-12-05,2020-12-23,2020-04-11,344.032
15797,15797,MUC,LHR,BA,2021-01-04,2021-01-14,2020-04-23,651.9925000000002
15889,15889,LHR,JFK,BA,2021-03-06,2021-03-13,2020-05-30,943.7799999999997
15934,15934,PEK,KMG,CA,2021-01-09,2021-01-21,2020-05-20,515.7085
15981,15981,PEK,KMG,CA,2021-01-07,2021-01-21,2020-05-12,504.8149999999998
16005,16005,LHR,LAS,BA,2021-02-21,2021-03-13,2020-04-11,977.5330000000004
16060,16060,PEK,URC,CA,2021-01-07,2021-01-21,2020-04-11,123.54000000000003
16147,16147,MAD,EZE,IB,2021-03-07,2021-03-20,2020-05-13,250.65
16197,16197,FRA,KEF,FI,2021-01-07,2021-01-18,2020-05-08,657.3580000000002
16242,16242,MAD,BOG,IB,2020-12-08,2020-12-23,2020-04-28,341.5500000000001
16297,16297,OSL,BGO,SK,2021-01-08,2021-01-21,2020-04-28,1241.1165
16369,16369,MAD,EZE,IB,2021-02-28,2021-03-20,2020-05-15,242.65
16414,16414,LHR,EDI,BA,2020-12-06,2020-12-17,2020-05-05,620.8014999999998
16494,16494,MUC,WAW,LO,2021-01-16,2021-01-21,2020-05-30,267.63300000000004
16532,16532,MAD,EZE,IB,2021-03-06,2021-03-20,2020-05-13,250.65
16579,16579,LHR,EDI,BA,2020-12-07,2020-12-17,2020-05-05,620.8014999999998
16610,16610,MAD,SCL,IB,2020-12-06,2020-12-24,2020-04-11,344.032
16682,16682,FRA,JFK,LH,2021-03-06,2021-03-20,2020-04-28,1090.5030000000004
16731,16731,FRA,PEK,LH,2021-01-02,2021-01-20,2020-04-22,782.5070000000003
16786,16786,FRA,PEK,LH,2020-12-30,2021-01-20,2020-04-22,782.4500000000003
16863,16863,FRA,SIN,SQ,2020-12-28,2021-01-15,2020-05-14,158.8899999999999
16930,16930,FRA,YYZ,AC,2020-12-29,2021-01-20,2020-05-26,336.33400000000006
16967,16967,SIN,CGK,SQ,2020-12-27,2021-01-15,2020-05-08,414.94500000000005
17039,17039,SIN,AKL,SQ,2020-12-22,2021-01-15,2020-05-25,981.1845
17095,17095,SIN,KNO,MI,2020-12-27,2021-01-15,2020-05-26,618.3285
